Point ID,alphat,arc_length,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0.00103452,0,0,0,1837.21,0,9.01994e-05,0.76699,0.000883659,0.23301,101217,0.199279,-125,10.45,0,125.436,0,459.303,2.26108e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.19622e-05,-7.96118e-06,-1.66614e-07,1.43702e-05,1
1,0.00103414,0.25,0,0,1837.21,0,9.01962e-05,0.76699,0.000883336,0.23301,101217,0.199255,-124.75,10.45,0,125.187,0,446.644,2.19876e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.18621e-05,-7.9159e-06,-1.70567e-07,1.42618e-05,1
2,0.00103376,0.5,0,0,1837.21,0,9.01929e-05,0.76699,0.000883013,0.23301,101217,0.199231,-124.5,10.45,0,124.938,0,433.985,2.13644e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.1762e-05,-7.87061e-06,-1.7452e-07,1.41535e-05,1
3,0.00103338,0.75,0,0,1837.21,0,9.01897e-05,0.76699,0.000882689,0.23301,101217,0.199207,-124.25,10.45,0,124.689,0,421.326,2.07412e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.1662e-05,-7.82532e-06,-1.78474e-07,1.40453e-05,1
4,0.001033,1,0,0,1837.21,0,9.01865e-05,0.76699,0.000882366,0.23301,101217,0.199182,-124,10.45,0,124.44,0,408.667,2.0118e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.15619e-05,-7.78003e-06,-1.82427e-07,1.3937e-05,1
5,0.00103262,1.25,0,0,1837.21,0,9.01832e-05,0.76699,0.000882043,0.23301,101217,0.199158,-123.75,10.45,0,124.19,0,396.008,1.94949e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.14618e-05,-7.73474e-06,-1.8638e-07,1.38288e-05,1
6,0.00103225,1.5,0,0,1837.21,0,9.018e-05,0.76699,0.000881719,0.23301,101217,0.199134,-123.5,10.45,0,123.941,0,383.349,1.88717e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.13618e-05,-7.68946e-06,-1.90333e-07,1.37206e-05,1
7,0.00103187,1.75,0,0,1837.21,0,9.01767e-05,0.76699,0.000881396,0.23301,101217,0.19911,-123.25,10.45,0,123.692,0,370.69,1.82485e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.12617e-05,-7.64417e-06,-1.94287e-07,1.36124e-05,1
8,0.00103149,2,0,0,1837.21,0,9.01735e-05,0.76699,0.000881073,0.23301,101217,0.199086,-123,10.45,0,123.443,0,358.031,1.76253e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.11616e-05,-7.59888e-06,-1.9824e-07,1.35042e-05,1
9,0.00103111,2.25,0,0,1837.21,0,9.01703e-05,0.76699,0.000880749,0.23301,101217,0.199062,-122.75,10.45,0,123.194,0,345.372,1.70021e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.10616e-05,-7.55359e-06,-2.02193e-07,1.33961e-05,1
10,0.00103073,2.5,0,0,1837.21,0,9.01671e-05,0.76699,0.000880426,0.23301,101217,0.199037,-122.5,10.45,0,122.945,0,332.713,1.6379e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.09615e-05,-7.50831e-06,-2.06146e-07,1.3288e-05,1
11,0.00103035,2.75,0,0,1837.21,0,9.01638e-05,0.76699,0.000880103,0.23301,101217,0.199013,-122.25,10.45,0,122.696,0,320.054,1.57558e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.08614e-05,-7.46302e-06,-2.101e-07,1.318e-05,1
12,0.00102997,3,0,0,1837.21,0,9.01606e-05,0.76699,0.00087978,0.23301,101217,0.198989,-122,10.45,0,122.447,0,307.395,1.51326e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.07614e-05,-7.41773e-06,-2.14053e-07,1.30719e-05,1
13,0.0010296,3.25,0,0,1837.21,0,9.01573e-05,0.76699,0.000879456,0.23301,101217,0.198965,-121.75,10.45,0,122.198,0,294.736,1.45094e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.06613e-05,-7.37244e-06,-2.18006e-07,1.29639e-05,1
14,0.00102922,3.5,0,0,1837.21,0,9.01541e-05,0.76699,0.000879133,0.23301,101217,0.198941,-121.5,10.45,0,121.949,0,282.077,1.38862e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.05612e-05,-7.32716e-06,-2.21959e-07,1.2856e-05,1
15,0.00102884,3.75,0,0,1837.21,0,9.01509e-05,0.76699,0.00087881,0.23301,101217,0.198916,-121.25,10.45,0,121.699,0,269.418,1.3263e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.04612e-05,-7.28187e-06,-2.25913e-07,1.2748e-05,1
16,0.00102846,4,0,0,1837.21,0,9.01476e-05,0.76699,0.000878486,0.23301,101217,0.198892,-121,10.45,0,121.45,0,256.76,1.26399e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.03611e-05,-7.23658e-06,-2.29866e-07,1.26402e-05,1
17,0.00102808,4.25,0,0,1837.21,0,9.01444e-05,0.76699,0.000878163,0.23301,101217,0.198868,-120.75,10.45,0,121.201,0,244.101,1.20167e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.0261e-05,-7.19129e-06,-2.33819e-07,1.25323e-05,1
18,0.0010277,4.5,0,0,1837.21,0,9.01412e-05,0.76699,0.00087784,0.23301,101217,0.198844,-120.5,10.45,0,120.952,0,231.442,1.13935e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.0161e-05,-7.14601e-06,-2.37772e-07,1.24245e-05,1
