Point ID,alphat,arc_length,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0.000103414,0,0,0,1837.21,0,1.74215e-05,0.76699,8.83352e-05,0.23301,101216,0.198479,-125,10.45,0,125.436,0,229.652,5.43819e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.48584e-07,-3.50751e-09,4.5465e-08,1.55424e-07,1
1,0.000103335,0.25,0,0,1837.21,0,1.74116e-05,0.76699,8.82673e-05,0.23301,101216,0.19852,-124.75,10.45,0,125.187,0,218.064,5.1638e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.45989e-07,-3.55368e-09,4.53685e-08,1.52918e-07,1
2,0.000103255,0.5,0,0,1837.21,0,1.74017e-05,0.76699,8.81995e-05,0.23301,101216,0.198562,-124.5,10.45,0,124.938,0,206.476,4.8894e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.43395e-07,-3.59985e-09,4.5272e-08,1.50415e-07,1
3,0.000103176,0.75,0,0,1837.21,0,1.73918e-05,0.76699,8.81316e-05,0.23301,101216,0.198603,-124.25,10.45,0,124.689,0,194.889,4.615e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.408e-07,-3.64602e-09,4.51755e-08,1.47915e-07,1
4,0.000103096,1,0,0,1837.21,0,1.73819e-05,0.76699,8.80638e-05,0.23301,101216,0.198645,-124,10.45,0,124.44,0,183.301,4.34061e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.38205e-07,-3.69219e-09,4.5079e-08,1.45418e-07,1
5,0.000103017,1.25,0,0,1837.21,0,1.7372e-05,0.76699,8.79959e-05,0.23301,101216,0.198686,-123.75,10.45,0,124.19,0,171.714,4.06621e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.35611e-07,-3.73836e-09,4.49825e-08,1.42925e-07,1
6,0.000102937,1.5,0,0,1837.21,0,1.7362e-05,0.76699,8.7928e-05,0.23301,101216,0.198728,-123.5,10.45,0,123.941,0,160.126,3.79182e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.33016e-07,-3.78453e-09,4.4886e-08,1.40436e-07,1
7,0.000102858,1.75,0,0,1837.21,0,1.73521e-05,0.76699,8.78602e-05,0.23301,101216,0.19877,-123.25,10.45,0,123.692,0,148.539,3.51742e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.30421e-07,-3.8307e-09,4.47894e-08,1.37951e-07,1
8,0.000102779,2,0,0,1837.21,0,1.73422e-05,0.76699,8.77923e-05,0.23301,101216,0.198811,-123,10.45,0,123.443,0,136.951,3.24303e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.27827e-07,-3.87687e-09,4.46929e-08,1.3547e-07,1
9,0.000102699,2.25,0,0,1837.21,0,1.73323e-05,0.76699,8.77245e-05,0.23301,101216,0.198853,-122.75,10.45,0,123.194,0,125.363,2.96863e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.25232e-07,-3.92303e-09,4.45964e-08,1.32994e-07,1
10,0.00010262,2.5,0,0,1837.21,0,1.73224e-05,0.76699,8.76566e-05,0.23301,101216,0.198894,-122.5,10.45,0,122.945,0,113.776,2.69423e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17071,300,-1.22637e-07,-3.9692e-09,4.44999e-08,1.30522e-07,1
11,0.00010254,2.75,0,0,1837.21,0,1.73125e-05,0.76699,8.75887e-05,0.23301,101216,0.198936,-122.25,10.45,0,122.696,0,102.188,2.41984e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.20043e-07,-4.01537e-09,4.44034e-08,1.28055e-07,1
12,0.000102461,3,0,0,1837.21,0,1.73025e-05,0.76699,8.75209e-05,0.23301,101216,0.198977,-122,10.45,0,122.447,0,90.6007,2.14544e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.17448e-07,-4.06154e-09,4.43069e-08,1.25593e-07,1
13,0.000102381,3.25,0,0,1837.21,0,1.72926e-05,0.76699,8.7453e-05,0.23301,101217,0.199019,-121.75,10.45,0,122.198,0,79.0132,1.87105e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.14853e-07,-4.10771e-09,4.42104e-08,1.23137e-07,1
14,0.000102302,3.5,0,0,1837.21,0,1.72827e-05,0.76699,8.73852e-05,0.23301,101217,0.19906,-121.5,10.45,0,121.949,0,67.4256,1.59665e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.12259e-07,-4.15388e-09,4.41139e-08,1.20687e-07,1
15,0.000102222,3.75,0,0,1837.21,0,1.72728e-05,0.76699,8.73173e-05,0.23301,101217,0.199102,-121.25,10.45,0,121.699,0,55.838,1.32225e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.09664e-07,-4.20005e-09,4.40173e-08,1.18243e-07,1
16,0.000102143,4,0,0,1837.21,0,1.72629e-05,0.76699,8.72494e-05,0.23301,101217,0.199143,-121,10.45,0,121.45,0,44.2505,1.04786e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.07069e-07,-4.24622e-09,4.39208e-08,1.15805e-07,1
17,0.000102064,4.25,0,0,1837.21,0,1.7253e-05,0.76699,8.71816e-05,0.23301,101217,0.199185,-120.75,10.45,0,121.201,0,32.6629,7.73463e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.04475e-07,-4.29239e-09,4.38243e-08,1.13375e-07,1
18,0.000101984,4.5,0,0,1837.21,0,1.72431e-05,0.76699,8.71137e-05,0.23301,101217,0.199226,-120.5,10.45,0,120.952,0,21.0753,4.99067e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-1.0188e-07,-4.33856e-09,4.37278e-08,1.10953e-07,1
19,0.000101905,4.75,0,0,1837.21,0,1.72331e-05,0.76699,8.70458e-05,0.23301,101217,0.199268,-120.25,10.45,0,120.703,0,9.48775,2.24672e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.92853e-08,-4.38472e-09,4.36313e-08,1.08538e-07,1
20,0.00010181,5,0,0,1837.21,0,1.72213e-05,0.76699,8.69651e-05,0.23301,101217,0.199302,-120,10.45,0,120.454,0,1.29017e-13,1.72324e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.6728e-08,-4.43799e-09,4.3519e-08,1.0616e-07,1
21,0.000101647,5.25,0,0,1837.21,0,1.72008e-05,0.76699,8.68259e-05,0.23301,101217,0.199302,-119.75,10.45,0,120.205,0,1.35722e-13,1.80172e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.43397e-08,-4.52335e-09,4.33354e-08,1.03915e-07,1
22,0.000101484,5.5,0,0,1837.21,0,1.71804e-05,0.76699,8.66867e-05,0.23301,101217,0.199302,-119.5,10.45,0,119.956,0,1.42427e-13,1.8802e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-9.19514e-08,-4.60871e-09,4.31519e-08,1.01678e-07,1
23,0.000101321,5.75,0,0,1837.21,0,1.71599e-05,0.76699,8.65475e-05,0.23301,101217,0.199302,-119.25,10.45,0,119.707,0,1.49132e-13,1.95868e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.9563e-08,-4.69406e-09,4.29683e-08,9.94477e-08,1
24,0.000101158,6,0,0,1837.21,0,1.71394e-05,0.76699,8.64084e-05,0.23301,101217,0.199302,-119,10.45,0,119.458,0,1.55837e-13,2.03717e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.71747e-08,-4.77942e-09,4.27848e-08,9.72255e-08,1
25,0.000100995,6.25,0,0,1837.21,0,1.7119e-05,0.76699,8.62692e-05,0.23301,101217,0.199302,-118.75,10.45,0,119.209,0,1.62543e-13,2.11565e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.47864e-08,-4.86477e-09,4.26012e-08,9.50119e-08,1
26,0.000100833,6.5,0,0,1837.21,0,1.70985e-05,0.76699,8.613e-05,0.23301,101217,0.199302,-118.5,10.45,0,118.96,0,1.69248e-13,2.19413e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.2398e-08,-4.95013e-09,4.24176e-08,9.28073e-08,1
27,0.00010067,6.75,0,0,1837.21,0,1.7078e-05,0.76699,8.59908e-05,0.23301,101217,0.199302,-118.25,10.45,0,118.711,0,1.75953e-13,2.27261e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17072,300,-8.00097e-08,-5.03548e-09,4.22341e-08,9.06125e-08,1
